parameter,rhat,experiment,condition,model_name
"z_1[1,56]",1.0025869153742202,exp1,cue,simple
"z_1[1,57]",1.0031114754933528,exp1,cue,simple
"z_1[1,58]",1.0037083177835993,exp1,cue,simple
"z_1[1,59]",1.001810819547624,exp1,cue,simple
"z_1[1,60]",1.0037036798451535,exp1,cue,simple
"z_1[1,61]",1.003498191174412,exp1,cue,simple
"z_1[1,62]",1.002081990514563,exp1,cue,simple
"z_1[1,63]",1.0033022876689295,exp1,cue,simple
"z_1[1,64]",1.0024073850649378,exp1,cue,simple
"z_1[1,65]",1.0024064881897923,exp1,cue,simple
"z_1[1,66]",1.0021732561173646,exp1,cue,simple
"z_1[1,67]",1.0033622585340494,exp1,cue,simple
"z_1[1,68]",1.0025545267320648,exp1,cue,simple
"z_1[1,69]",1.0023044512224426,exp1,cue,simple
"z_1[1,70]",1.0027339922326133,exp1,cue,simple
"z_1[1,71]",1.003939822402065,exp1,cue,simple
"z_1[1,72]",1.002118948894574,exp1,cue,simple
"z_1[1,73]",1.0045469868092165,exp1,cue,simple
"z_1[1,74]",1.0023681080099165,exp1,cue,simple
"z_1[1,75]",1.0038079985260921,exp1,cue,simple
"z_1[1,76]",1.0034642791861186,exp1,cue,simple
"z_1[1,77]",1.0036177053822104,exp1,cue,simple
"z_1[1,78]",1.0027053435842366,exp1,cue,simple
"z_1[1,79]",1.0040960956071983,exp1,cue,simple
"z_1[1,80]",1.0029965100997162,exp1,cue,simple
"z_1[1,81]",1.0029946349039784,exp1,cue,simple
"z_1[1,82]",1.0044854302517632,exp1,cue,simple
"z_1[1,83]",1.003176938540357,exp1,cue,simple
"z_1[1,84]",1.003330917927373,exp1,cue,simple
"z_1[1,85]",1.0043466105623013,exp1,cue,simple
"z_1[1,86]",1.002224653018597,exp1,cue,simple
"z_1[1,87]",1.003009069630233,exp1,cue,simple
"z_1[1,88]",1.0009676612814036,exp1,cue,simple
"z_1[1,89]",1.003251624859809,exp1,cue,simple
"z_1[1,90]",1.0035257970139497,exp1,cue,simple
"z_1[1,91]",1.002382462423603,exp1,cue,simple
"z_1[1,92]",1.0045940466387329,exp1,cue,simple
"z_1[1,93]",1.0027290881620585,exp1,cue,simple
"z_1[1,94]",1.0042409893131852,exp1,cue,simple
"z_1[1,95]",1.0019598512439183,exp1,cue,simple
"z_1[1,96]",1.0032409607049662,exp1,cue,simple
"z_1[1,97]",1.002071093736061,exp1,cue,simple
"z_1[1,98]",1.0026898019669461,exp1,cue,simple
"z_1[1,99]",1.0027550940309442,exp1,cue,simple
"z_1[1,100]",1.0026180574340147,exp1,cue,simple
"z_1[1,101]",1.0043965606976302,exp1,cue,simple
"z_1[1,102]",1.0037960089426077,exp1,cue,simple
"z_1[1,103]",1.0041622882873815,exp1,cue,simple
"z_1[1,104]",1.003685251839715,exp1,cue,simple
"z_1[1,105]",1.003747725433561,exp1,cue,simple
"z_2[1,1]",1.0016184952206961,exp1,cue,simple
"z_2[1,2]",1.0014956565932263,exp1,cue,simple
"z_2[1,3]",1.002037649102075,exp1,cue,simple
"z_2[1,4]",1.0022957206020717,exp1,cue,simple
"z_2[1,5]",1.0025949816503803,exp1,cue,simple
"z_2[1,6]",1.0020728115710409,exp1,cue,simple
"z_2[1,7]",1.0021410350218642,exp1,cue,simple
"z_2[1,8]",1.0017758002019843,exp1,cue,simple
"z_2[1,9]",1.0018840632600938,exp1,cue,simple
"z_2[1,10]",1.001981818517803,exp1,cue,simple
"z_2[1,11]",1.0022325784901553,exp1,cue,simple
"z_2[1,12]",1.0018259089120152,exp1,cue,simple
"z_2[1,13]",1.0018023513910312,exp1,cue,simple
"z_2[1,14]",1.0022319868104086,exp1,cue,simple
"z_2[1,15]",1.0018558318604918,exp1,cue,simple
"z_2[1,16]",1.0012575555681822,exp1,cue,simple
"z_2[1,17]",1.0018216656593324,exp1,cue,simple
"z_2[1,18]",1.0021436491378881,exp1,cue,simple
"z_2[1,19]",1.0018923647878282,exp1,cue,simple
"z_2[1,20]",1.002353055085724,exp1,cue,simple
"z_2[1,21]",1.0020870751687037,exp1,cue,simple
"z_2[1,22]",1.0020397645567851,exp1,cue,simple
"z_2[1,23]",1.002308990091285,exp1,cue,simple
"z_2[1,24]",1.002291868970037,exp1,cue,simple
"z_2[1,25]",1.0021555062694012,exp1,cue,simple
"z_2[1,26]",1.001458466470125,exp1,cue,simple
"z_2[1,27]",1.0020216639814805,exp1,cue,simple
"z_2[1,28]",1.002346637967026,exp1,cue,simple
"z_2[1,29]",1.0017607460528977,exp1,cue,simple
"z_2[1,30]",1.0019916930388213,exp1,cue,simple
"z_2[1,31]",1.0025142023311635,exp1,cue,simple
"z_2[1,32]",1.001743618586327,exp1,cue,simple
"z_2[1,33]",1.0019788550252393,exp1,cue,simple
"z_2[1,34]",1.0020678132117147,exp1,cue,simple
"z_2[1,35]",1.0020651099845197,exp1,cue,simple
"z_2[1,36]",1.0025524380137756,exp1,cue,simple
"z_2[1,37]",1.0023834947840018,exp1,cue,simple
"z_2[1,38]",1.0015179404466807,exp1,cue,simple
"z_2[1,39]",1.0018338686834258,exp1,cue,simple
"z_2[1,40]",1.0021076152465274,exp1,cue,simple
"z_2[1,41]",1.0017004296443104,exp1,cue,simple
"z_2[1,42]",1.0007509168727697,exp1,cue,simple
"z_2[1,43]",1.0016002824222483,exp1,cue,simple
"z_2[1,44]",1.0021348477513299,exp1,cue,simple
"z_2[1,45]",1.001994810841913,exp1,cue,simple
"z_2[1,46]",1.0023646942123217,exp1,cue,simple
"z_2[1,47]",1.0017465189099684,exp1,cue,simple
"z_2[1,48]",1.0021045644141788,exp1,cue,simple
"z_2[1,49]",1.00245477684278,exp1,cue,simple
"z_2[1,50]",1.001809045149228,exp1,cue,simple
"z_2[1,51]",1.0022864212706089,exp1,cue,simple
"z_2[1,52]",1.0024413819609619,exp1,cue,simple
"z_2[1,53]",1.0017413365928831,exp1,cue,simple
"z_2[1,54]",1.0019485935020969,exp1,cue,simple
"z_2[1,55]",1.0022527039386464,exp1,cue,simple
"z_2[1,56]",1.0022032282853923,exp1,cue,simple
"z_2[1,57]",1.0021923314363284,exp1,cue,simple
"z_2[1,58]",1.0021853239302114,exp1,cue,simple
"z_2[1,59]",1.0020776947285006,exp1,cue,simple
"z_2[1,60]",1.0020851872663155,exp1,cue,simple
"z_2[1,61]",1.002192486654304,exp1,cue,simple
"z_2[1,62]",1.0016658619519319,exp1,cue,simple
"z_2[1,63]",1.0021760652503031,exp1,cue,simple
"z_2[1,64]",1.0023408389784019,exp1,cue,simple
"z_2[1,65]",1.0022192716141292,exp1,cue,simple
"z_2[1,66]",1.0018258097042423,exp1,cue,simple
"z_2[1,67]",1.0021490480441315,exp1,cue,simple
"z_2[1,68]",1.0021184813034845,exp1,cue,simple
"z_2[1,69]",1.002360206885915,exp1,cue,simple
"z_2[1,70]",1.0018590313752758,exp1,cue,simple
"z_2[1,71]",1.0017394940581863,exp1,cue,simple
"z_2[1,72]",1.0019174317408566,exp1,cue,simple
"z_2[1,73]",1.0017446589667174,exp1,cue,simple
"z_2[1,74]",1.0019442555894873,exp1,cue,simple
"z_2[1,75]",1.0018694709911151,exp1,cue,simple
"z_2[1,76]",1.0022481262362035,exp1,cue,simple
"z_2[1,77]",1.0026806187770432,exp1,cue,simple
"z_2[1,78]",1.0019008184457314,exp1,cue,simple
"z_2[1,79]",1.0011665268421401,exp1,cue,simple
"z_2[1,80]",1.0022851143084834,exp1,cue,simple
"z_2[1,81]",1.0020983316219894,exp1,cue,simple
"z_2[1,82]",1.0018021037929001,exp1,cue,simple
"z_2[1,83]",1.001489424079177,exp1,cue,simple
"z_2[1,84]",1.0020059957908962,exp1,cue,simple
"z_2[1,85]",1.0016019879957578,exp1,cue,simple
"z_2[1,86]",1.001931818856514,exp1,cue,simple
"z_2[1,87]",1.0016954081009266,exp1,cue,simple
"z_2[1,88]",1.0013899231616454,exp1,cue,simple
"z_2[1,89]",1.0018190805012612,exp1,cue,simple
"z_2[1,90]",1.0018882879715338,exp1,cue,simple
"z_2[1,91]",1.001941352672369,exp1,cue,simple
"z_2[1,92]",1.0020822234127402,exp1,cue,simple
"z_2[1,93]",1.0020665935270738,exp1,cue,simple
"z_2[1,94]",1.0019485187106345,exp1,cue,simple
"z_2[1,95]",1.0021376885012208,exp1,cue,simple
"z_2[1,96]",1.0025620506533335,exp1,cue,simple
"z_2[1,97]",1.0020494375795397,exp1,cue,simple
"z_2[1,98]",1.0015084633832392,exp1,cue,simple
"z_2[1,99]",1.0018526423686192,exp1,cue,simple
"z_2[1,100]",1.0021761763603527,exp1,cue,simple
"z_2[1,101]",1.0016366521434463,exp1,cue,simple
"z_2[1,102]",1.002098809406279,exp1,cue,simple
"z_2[1,103]",1.0020748946215148,exp1,cue,simple
"z_2[1,104]",1.0021389594770838,exp1,cue,simple
"z_2[1,105]",1.0018453380308052,exp1,cue,simple
